,Hour,GEOTHERMAL,BIOMASS,BIOGAS,SMALL HYDRO,WIND TOTAL,SOLAR PV,SOLAR THERMAL
2017-08-01,1,959,197,180,362,3076,0,0
2017-08-01,2,959,194,180,350,3124,0,0
2017-08-01,3,960,196,180,361,3079,0,0
2017-08-01,4,961,197,179,353,2985,0,0
2017-08-01,5,959,199,180,349,2440,0,0
2017-08-01,6,960,202,179,360,1526,0,0
2017-08-01,7,961,212,177,422,1218,391,0
2017-08-01,8,959,222,173,414,851,2452,85
2017-08-01,9,953,228,172,432,528,4311,218
2017-08-01,10,920,230,164,445,417,5178,326
2017-08-01,11,913,230,169,457,517,5414,354
2017-08-01,12,912,229,170,449,350,5966,334
2017-08-01,13,909,229,170,483,300,6459,285
2017-08-01,14,904,231,170,504,409,5907,136
2017-08-01,15,908,230,169,576,576,5953,206
2017-08-01,16,909,231,170,614,648,6229,210
2017-08-01,17,908,231,170,606,784,5653,207
2017-08-01,18,909,230,173,594,1030,3930,207
2017-08-01,19,929,230,174,605,1639,1671,141
2017-08-01,20,949,230,179,611,1859,249,87
2017-08-01,21,954,230,178,555,1445,23,42
2017-08-01,22,961,236,178,520,1762,0,0
2017-08-01,23,964,234,178,481,1563,0,0
2017-08-01,24,965,237,178,433,1374,0,0
2017-08-02,1,967,239,179,352,1214,0,0
2017-08-02,2,966,243,179,376,1056,0,0
2017-08-02,3,966,249,179,336,736,0,0
2017-08-02,4,966,250,180,337,484,0,0
2017-08-02,5,967,249,180,343,377,0,0
2017-08-02,6,970,251,180,360,305,0,0
2017-08-02,7,967,255,180,411,307,265,0
2017-08-02,8,964,260,180,424,366,1628,16
2017-08-02,9,960,260,178,458,335,2966,126
2017-08-02,10,957,256,176,475,281,3913,150
2017-08-02,11,922,256,176,460,211,5062,176
2017-08-02,12,914,256,176,479,164,5240,185
2017-08-02,13,912,258,176,479,220,5525,288
2017-08-02,14,913,258,176,511,386,5514,339
2017-08-02,15,915,257,176,518,873,4531,437
2017-08-02,16,916,258,175,594,1119,3518,442
2017-08-02,17,916,258,176,584,1135,3132,482
2017-08-02,18,916,257,177,597,1229,2072,447
2017-08-02,19,940,260,177,597,1495,845,239
2017-08-02,20,959,259,177,596,1870,115,102
2017-08-02,21,962,257,176,609,2175,0,86
2017-08-02,22,965,258,177,539,2023,0,86
2017-08-02,23,967,253,176,478,1590,0,86
2017-08-02,24,969,251,176,428,1306,0,86
2017-08-03,1,970,251,177,395,1327,0,86
2017-08-03,2,971,250,177,393,1413,0,74
2017-08-03,3,972,247,178,402,936,0,0
2017-08-03,4,973,251,178,401,814,0,0
2017-08-03,5,975,251,178,401,862,0,0
2017-08-03,6,977,253,178,403,799,0,0
2017-08-03,7,978,256,177,457,449,121,0
2017-08-03,8,975,258,177,483,415,1183,0
2017-08-03,9,973,261,175,516,383,2952,0
2017-08-03,10,970,259,172,529,460,4682,0
2017-08-03,11,940,261,171,529,464,5620,16
2017-08-03,12,926,260,174,491,569,6183,115
2017-08-03,13,925,256,177,460,841,5424,188
2017-08-03,14,924,259,177,476,1713,5540,207
2017-08-03,15,922,259,174,470,1522,5116,208
2017-08-03,16,920,259,175,521,1406,3848,209
2017-08-03,17,920,259,177,574,1431,2832,209
2017-08-03,18,921,257,176,592,1600,2343,206
2017-08-03,19,949,257,176,588,1967,1585,72
2017-08-03,20,968,258,173,593,2025,215,19
2017-08-03,21,969,259,174,549,2169,0,0
2017-08-03,22,971,260,176,523,2443,0,0
2017-08-03,23,971,255,177,474,2804,0,0
2017-08-03,24,970,252,176,440,2570,0,0
2017-08-04,1,970,250,174,414,2129,0,0
2017-08-04,2,971,248,176,384,1993,0,0
2017-08-04,3,970,247,177,344,1366,0,0
2017-08-04,4,971,240,178,346,1003,0,0
2017-08-04,5,972,239,178,346,1056,0,0
2017-08-04,6,971,239,175,345,1302,0,0
2017-08-04,7,973,241,175,362,1171,380,0
2017-08-04,8,969,241,177,413,1113,2642,0
2017-08-04,9,969,241,176,465,892,5201,53
2017-08-04,10,965,242,175,463,842,6511,97
2017-08-04,11,935,243,175,480,793,7295,152
2017-08-04,12,920,238,176,499,870,7803,133
2017-08-04,13,919,240,175,531,1064,7537,213
2017-08-04,14,919,239,177,531,1611,7029,345
2017-08-04,15,919,240,176,502,2151,6855,437
2017-08-04,16,919,242,176,576,2634,7177,418
2017-08-04,17,923,242,177,593,3104,6857,364
2017-08-04,18,923,242,167,570,3385,4926,342
2017-08-04,19,920,242,170,584,3816,2435,178
2017-08-04,20,921,240,178,580,4053,316,53
2017-08-04,21,923,240,176,522,3978,0,48
2017-08-04,22,924,240,175,477,3957,0,46
2017-08-04,23,925,237,175,470,4125,0,0
2017-08-04,24,927,238,176,416,4246,0,0
2017-08-05,1,927,239,177,406,4243,0,0
2017-08-05,2,928,239,177,396,3471,0,0
2017-08-05,3,928,240,179,340,2934,0,0
2017-08-05,4,929,239,178,345,3109,0,0
2017-08-05,5,943,233,178,358,3351,0,0
2017-08-05,6,971,218,178,370,3443,0,0
2017-08-05,7,972,222,174,380,3355,298,0
2017-08-05,8,972,239,172,373,3335,2532,0
2017-08-05,9,971,247,172,399,3256,5392,45
2017-08-05,10,970,243,170,421,3239,7009,105
2017-08-05,11,966,245,169,442,3273,8140,302
2017-08-05,12,965,246,171,498,3356,8457,238
2017-08-05,13,963,247,172,498,3090,8631,165
2017-08-05,14,961,247,171,495,3191,8617,190
2017-08-05,15,961,248,169,533,3574,8398,331
2017-08-05,16,961,248,169,523,3997,7969,285
2017-08-05,17,961,247,172,522,4224,7147,423
2017-08-05,18,960,247,173,559,4189,5704,398
2017-08-05,19,960,247,172,578,4265,2924,270
2017-08-05,20,960,247,173,577,4248,535,40
2017-08-05,21,962,247,173,553,4440,20,0
2017-08-05,22,968,247,173,471,4385,0,0
2017-08-05,23,972,245,174,411,4345,0,0
2017-08-05,24,973,245,174,416,4479,0,0
2017-08-06,1,974,245,175,417,4543,0,0
2017-08-06,2,973,245,176,412,4530,0,0
2017-08-06,3,975,245,176,367,4412,0,0
2017-08-06,4,974,237,176,359,4165,0,0
2017-08-06,5,976,230,176,359,3928,0,0
2017-08-06,6,976,234,176,362,3778,0,0
2017-08-06,7,950,244,176,378,3603,405,0
2017-08-06,8,945,248,176,374,3384,3219,114
2017-08-06,9,942,246,176,382,3024,6302,337
2017-08-06,10,937,247,175,352,2575,7639,431
2017-08-06,11,933,246,174,424,2106,8288,473
2017-08-06,12,931,247,175,431,1823,8757,489
2017-08-06,13,929,247,174,489,1757,8839,441
2017-08-06,14,929,246,174,524,2200,8593,173
2017-08-06,15,927,248,173,558,2786,8192,127
2017-08-06,16,926,247,173,533,3347,7719,95
2017-08-06,17,926,249,174,536,3661,6960,156
2017-08-06,18,924,248,174,568,3902,5666,233
2017-08-06,19,948,247,174,603,3926,2951,208
2017-08-06,20,962,244,173,600,3734,407,20
2017-08-06,21,964,247,172,583,3683,0,0
2017-08-06,22,969,247,173,514,3719,0,0
2017-08-06,23,973,245,173,452,3626,0,0
2017-08-06,24,973,243,174,413,3670,0,0
2017-08-07,1,970,244,174,367,3636,0,0
2017-08-07,2,968,244,174,369,3539,0,0
2017-08-07,3,969,243,175,396,2937,0,0
2017-08-07,4,968,243,174,387,2228,0,0
2017-08-07,5,968,246,174,387,1872,0,0
2017-08-07,6,967,253,173,379,1651,0,0
2017-08-07,7,966,257,173,428,1337,448,0
2017-08-07,8,958,259,173,405,1106,3263,5
2017-08-07,9,929,261,172,370,943,6218,205
2017-08-07,10,926,260,168,444,847,7749,475
2017-08-07,11,925,261,166,448,729,8529,544
2017-08-07,12,922,262,167,448,704,8876,608
2017-08-07,13,921,261,169,495,787,8807,383
2017-08-07,14,919,261,171,513,997,8696,282
2017-08-07,15,917,259,170,537,1477,8491,280
2017-08-07,16,917,259,171,578,1878,7979,256
2017-08-07,17,917,258,171,596,2152,7129,291
2017-08-07,18,917,257,171,598,2623,5788,324
2017-08-07,19,933,259,176,598,2922,2944,234
2017-08-07,20,958,258,176,597,2958,369,17
2017-08-07,21,959,261,176,576,3027,0,0
2017-08-07,22,962,256,176,496,3189,0,0
2017-08-07,23,964,253,176,450,3354,0,0
2017-08-07,24,966,247,177,423,3289,0,0
2017-08-08,1,968,250,178,364,3169,0,0
2017-08-08,2,968,249,178,351,3072,0,0
2017-08-08,3,968,247,178,357,2666,0,0
2017-08-08,4,968,248,178,346,2351,0,0
2017-08-08,5,969,252,178,359,2094,0,0
2017-08-08,6,968,253,177,358,1886,0,0
2017-08-08,7,968,254,177,421,1693,431,0
2017-08-08,8,967,258,177,409,1390,3339,116
2017-08-08,9,964,260,176,376,1131,6515,436
2017-08-08,10,961,261,176,428,863,7854,541
2017-08-08,11,930,260,170,432,654,8539,569
2017-08-08,12,920,260,171,434,636,8848,599
2017-08-08,13,918,259,170,460,771,8851,573
2017-08-08,14,917,259,171,476,829,8880,607
2017-08-08,15,918,260,171,478,969,8768,619
2017-08-08,16,918,259,173,539,1315,8369,614
2017-08-08,17,918,259,170,526,1848,7598,546
2017-08-08,18,918,257,174,581,2210,6073,536
2017-08-08,19,947,258,173,575,2580,2980,335
2017-08-08,20,958,258,175,563,2986,355,36
2017-08-08,21,958,254,174,512,3058,0,0
2017-08-08,22,961,258,173,504,3219,0,0
2017-08-08,23,962,256,172,437,3280,0,0
2017-08-08,24,962,250,173,403,2925,0,0
2017-08-09,1,963,248,176,362,2848,0,0
2017-08-09,2,964,247,176,347,2893,0,0
2017-08-09,3,964,243,175,358,2782,0,0
2017-08-09,4,966,249,175,350,2622,0,0
2017-08-09,5,966,252,175,363,2476,0,0
2017-08-09,6,967,254,173,363,2348,0,0
2017-08-09,7,966,257,171,393,2094,414,0
2017-08-09,8,965,259,164,378,1823,3288,97
2017-08-09,9,962,261,157,400,1650,6363,405
2017-08-09,10,962,262,157,449,1471,7651,479
2017-08-09,11,936,261,157,444,1167,8277,450
2017-08-09,12,917,260,163,461,1128,8575,493
2017-08-09,13,905,259,165,463,1151,8549,527
2017-08-09,14,908,261,167,465,1389,8459,400
2017-08-09,15,912,260,165,500,1815,8336,447
2017-08-09,16,915,261,165,535,2291,8068,606
2017-08-09,17,917,261,166,580,2726,7358,614
2017-08-09,18,914,256,165,581,3064,6003,547
2017-08-09,19,919,258,162,614,3166,2885,322
2017-08-09,20,952,258,165,614,3154,315,30
2017-08-09,21,960,259,165,597,3431,0,0
2017-08-09,22,962,258,165,519,3626,0,0
2017-08-09,23,964,257,165,486,3823,0,0
2017-08-09,24,966,255,166,473,3774,0,0
2017-08-10,1,967,254,166,370,3574,0,0
2017-08-10,2,966,252,166,359,3490,0,0
2017-08-10,3,967,254,165,365,3242,0,0
2017-08-10,4,967,255,165,367,2806,0,0
2017-08-10,5,968,253,165,380,2377,0,0
2017-08-10,6,969,251,165,399,2105,0,0
2017-08-10,7,971,255,165,412,1752,399,1
2017-08-10,8,970,259,162,397,1399,3251,160
2017-08-10,9,966,259,163,370,1073,6345,435
2017-08-10,10,961,259,162,422,762,7455,542
2017-08-10,11,938,260,164,432,527,8359,566
2017-08-10,12,932,262,162,451,440,8632,620
2017-08-10,13,932,260,161,439,464,8557,636
2017-08-10,14,930,261,164,455,617,8279,610
2017-08-10,15,930,263,162,491,866,8140,445
2017-08-10,16,931,265,167,521,1313,7917,476
2017-08-10,17,931,264,177,570,1912,7068,602
2017-08-10,18,933,259,175,575,2473,5525,552
2017-08-10,19,944,259,179,581,2861,2535,316
2017-08-10,20,958,259,179,582,3351,246,5
2017-08-10,21,960,260,179,569,3240,0,0
2017-08-10,22,963,260,177,508,2777,0,0
2017-08-10,23,965,253,177,484,2549,0,0
2017-08-10,24,965,248,177,461,2520,0,0
2017-08-11,1,966,248,178,393,2479,0,0
2017-08-11,2,968,249,178,355,2322,0,0
2017-08-11,3,970,249,177,352,2305,0,0
2017-08-11,4,970,251,178,352,2320,0,0
2017-08-11,5,971,253,178,352,2104,0,0
2017-08-11,6,972,253,178,368,2017,0,0
2017-08-11,7,972,256,178,430,1839,319,0
2017-08-11,8,970,258,178,426,1249,2991,141
2017-08-11,9,968,260,180,428,748,6233,404
2017-08-11,10,963,260,179,448,422,7790,520
2017-08-11,11,927,258,174,449,311,8584,552
2017-08-11,12,919,256,169,456,211,8870,519
2017-08-11,13,918,257,174,457,254,8551,302
2017-08-11,14,916,260,180,473,349,8427,284
2017-08-11,15,916,260,179,511,615,8423,273
2017-08-11,16,916,259,179,578,999,7917,268
2017-08-11,17,916,261,179,618,1642,7489,267
2017-08-11,18,915,258,179,614,2127,5999,255
2017-08-11,19,937,258,179,615,2485,2839,140
2017-08-11,20,957,258,179,612,2914,366,0
2017-08-11,21,960,258,179,602,3205,45,0
2017-08-11,22,962,258,179,535,3347,0,0
2017-08-11,23,966,247,178,488,3274,0,0
2017-08-11,24,971,237,178,456,3056,0,0
2017-08-12,1,971,234,177,413,2822,0,0
2017-08-12,2,972,233,178,423,2813,0,0
2017-08-12,3,974,234,178,441,2625,0,0
2017-08-12,4,973,234,178,399,2483,0,0
2017-08-12,5,975,233,178,370,2491,0,0
2017-08-12,6,976,236,178,398,2302,0,0
2017-08-12,7,977,241,178,412,2317,308,0
2017-08-12,8,976,240,179,381,2323,2941,86
2017-08-12,9,974,239,180,372,1898,6338,362
2017-08-12,10,971,239,180,392,1171,7876,530
2017-08-12,11,968,239,180,428,890,8575,542
2017-08-12,12,966,238,180,443,848,8781,452
2017-08-12,13,964,239,180,443,965,8739,483
2017-08-12,14,963,240,179,470,1251,8882,526
2017-08-12,15,963,244,174,540,1739,8739,556
2017-08-12,16,964,244,172,542,2141,8094,564
2017-08-12,17,962,244,172,566,2799,7370,551
2017-08-12,18,961,243,178,606,3065,5651,491
2017-08-12,19,962,244,179,607,2919,2631,271
2017-08-12,20,965,243,176,606,2810,254,2
2017-08-12,21,968,241,173,554,3032,0,0
2017-08-12,22,973,242,177,520,3123,0,0
2017-08-12,23,974,240,176,485,3146,0,0
2017-08-12,24,973,237,175,436,3237,0,0
2017-08-13,1,974,240,177,390,3416,0,0
2017-08-13,2,976,239,178,357,3032,0,0
2017-08-13,3,976,240,178,382,2861,0,0
2017-08-13,4,976,240,179,386,2863,0,0
2017-08-13,5,978,239,178,389,2663,0,0
2017-08-13,6,978,239,178,392,2312,0,0
2017-08-13,7,979,243,178,400,1897,343,0
2017-08-13,8,978,243,179,356,1575,3268,78
2017-08-13,9,976,244,179,358,1324,6478,421
2017-08-13,10,973,244,179,388,1323,7688,544
2017-08-13,11,970,247,175,382,1308,8660,565
2017-08-13,12,967,249,175,421,1221,8950,550
2017-08-13,13,964,246,176,436,1319,8914,524
2017-08-13,14,963,248,176,432,1875,8857,553
2017-08-13,15,962,249,176,486,2427,8704,562
2017-08-13,16,963,247,176,509,3009,8427,561
2017-08-13,17,965,247,176,594,3374,7622,536
2017-08-13,18,965,244,177,571,3372,5976,461
2017-08-13,19,967,244,178,609,3273,2771,250
2017-08-13,20,968,246,178,616,3350,259,0
2017-08-13,21,970,246,178,604,3139,0,0
2017-08-13,22,971,245,177,517,2890,0,0
2017-08-13,23,971,241,177,473,2907,0,0
2017-08-13,24,973,242,177,443,3130,0,0
2017-08-14,1,973,243,177,376,3229,0,0
2017-08-14,2,974,245,177,339,3505,0,0
2017-08-14,3,974,250,178,352,3346,0,0
2017-08-14,4,975,251,178,351,3100,0,0
2017-08-14,5,975,251,178,351,2854,0,0
2017-08-14,6,978,251,176,388,3342,0,0
2017-08-14,7,975,253,175,409,3335,364,0
2017-08-14,8,946,255,175,390,3194,3417,36
2017-08-14,9,942,257,177,387,3006,6557,349
2017-08-14,10,941,249,177,403,3043,7498,532
2017-08-14,11,919,247,176,418,2711,8269,556
2017-08-14,12,910,248,174,440,2667,8955,601
2017-08-14,13,921,248,174,449,3096,8957,646
2017-08-14,14,932,249,174,473,3504,8901,641
2017-08-14,15,920,247,174,479,3849,8796,636
2017-08-14,16,912,250,173,505,3842,8613,448
2017-08-14,17,904,250,175,511,3780,7608,314
2017-08-14,18,926,248,175,522,3791,6147,271
2017-08-14,19,946,247,175,540,3690,2789,145
2017-08-14,20,958,248,175,578,3433,242,0
2017-08-14,21,961,249,175,540,3294,0,0
2017-08-14,22,962,249,174,526,3249,0,0
2017-08-14,23,963,242,173,447,3335,0,0
2017-08-14,24,964,239,174,435,3160,0,0
2017-08-15,1,965,237,175,416,2912,0,0
2017-08-15,2,965,237,175,401,2570,0,0
2017-08-15,3,966,240,175,399,2567,0,0
2017-08-15,4,966,241,175,359,2633,0,0
2017-08-15,5,966,241,175,368,2381,0,0
2017-08-15,6,967,241,175,404,2443,0,0
2017-08-15,7,968,243,175,415,2889,311,0
2017-08-15,8,967,244,172,409,2927,3104,0
2017-08-15,9,961,246,173,394,2849,6548,91
2017-08-15,10,934,248,172,394,2637,8046,298
2017-08-15,11,933,248,158,395,2386,8766,483
2017-08-15,12,931,248,156,416,2205,9180,603
2017-08-15,13,930,248,157,423,2396,9239,648
2017-08-15,14,935,247,157,430,2684,9202,651
2017-08-15,15,936,247,158,442,3090,9135,646
2017-08-15,16,935,249,158,495,3406,8778,632
2017-08-15,17,935,249,158,536,3770,8053,617
2017-08-15,18,936,248,161,541,3837,6403,523
2017-08-15,19,957,248,172,547,3872,2851,287
2017-08-15,20,966,249,175,581,4091,257,19
2017-08-15,21,968,247,175,550,4211,0,0
2017-08-15,22,970,248,174,503,4087,0,0
2017-08-15,23,972,241,174,440,3806,0,0
2017-08-15,24,972,240,174,413,3571,0,0
2017-08-16,1,973,238,174,405,3554,0,0
2017-08-16,2,974,238,175,361,3434,0,0
2017-08-16,3,974,238,175,371,3380,0,0
2017-08-16,4,974,239,175,376,3334,0,0
2017-08-16,5,974,238,175,394,3123,0,0
2017-08-16,6,975,231,175,410,2842,0,0
2017-08-16,7,974,230,174,435,2516,336,0
2017-08-16,8,972,230,174,430,2185,3139,111
2017-08-16,9,969,231,173,419,1797,6535,407
2017-08-16,10,966,232,173,420,1441,7800,541
2017-08-16,11,941,234,173,424,1131,8693,561
2017-08-16,12,936,227,174,441,1030,9002,623
